"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dync1h1",0.0309145601102689,-1.42669718094583,0.089,0.176,1
"Tardbp",0.0016785005394716,-1.42632030676595,0.156,0.311,1
"Ythdc1",0.0193828300452349,-1.42359773218165,0.044,0.133,1
"Gls",0.0279021606674079,-1.42210441872897,0.078,0.165,1
"Raph1",0.0412612225517294,-1.4200829699151,0.044,0.117,1
"Ppp6r1",0.120171792484612,-1.41579194370999,0.067,0.12,1
"Clec4a2",0.0415232343201041,-1.41575003410154,0.111,0.197,1
"Bclaf1",0.010610298309806,-1.41479359035294,0.067,0.174,1
"Cklf",0.0211747965796672,-1.41241911668336,0.044,0.131,1
"Syncrip",0.00964857104917967,-1.41236128607924,0.089,0.203,1
"Arid1a",0.00588240730538823,-1.41190394666545,0.067,0.187,1
"Gnl3",0.0946684795214135,-1.41032130914903,0.056,0.111,1
"Acbd6",0.0169227532501223,-1.40955317759884,0.067,0.163,1
"Cd164",0.000145379531994783,-1.40878953176834,0.178,0.384,1
"Maf",9.10352539180013e-13,-1.40524417517033,0.6,0.835,1.33075334177334e-08
"Lrpap1",0.0541641197181532,-1.4020473465175,0.078,0.151,1
"Hk2",0.0025071884911363,-1.388148171179,0.156,0.296,1
"Mark3",0.0436858266218158,-1.38590525650578,0.044,0.115,1
"Frmd4a",0.0433214875274101,-1.38566809515955,0.056,0.129,1
"Jarid2",0.0847415053211249,-1.38179434368239,0.056,0.115,1
"Mapk1",0.0541950493968561,-1.38116509491319,0.067,0.138,1
"Ncaph2",0.0875439265600713,-1.38103116559666,0.056,0.115,1
"Rnf121",0.0944747193126116,-1.37903046675424,0.056,0.113,1
"Usp2",0.0303331217811184,-1.37839551561701,0.056,0.138,1
"2510039O18Rik",0.0311465139566733,-1.37748244590555,0.033,0.108,1
"Setd2",0.111452273450301,-1.37592825176348,0.056,0.11,1
"Morc3",0.0168706601218486,-1.37510204112644,0.056,0.151,1
"Plod3",0.0357553764343179,-1.37310982934827,0.067,0.147,1
"Rsrc2",0.0663144650551951,-1.37109798548515,0.078,0.147,1
"Ncoa3",0.0236156106321309,-1.3699220776176,0.122,0.219,1
"Tug1",0.0161390437034757,-1.36783210216927,0.056,0.151,1
"Ddx3x",0.000411506017385016,-1.36659831209142,0.211,0.386,1
"Nudt3",0.0406090182837377,-1.36253306369792,0.067,0.145,1
"Kpna1",0.0785177275243106,-1.36199844665937,0.044,0.102,1
