"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dgkd",0.0832236412933838,-0.44487977065187,0.242,0.171,1
"Slc26a2",0.0836125679434083,-0.267468373737798,0.101,0.063,1
"Ptpn11",0.0841714258614042,-0.257106967565536,0.125,0.082,1
"Exosc7",0.0844260356264713,-0.266970311425234,0.157,0.108,1
"Timm10b",0.0845470294776431,-0.361216933613408,0.696,0.587,1
"B4galt6",0.0852692309168359,-0.250234871204114,0.109,0.071,1
"Mif",0.0855936859160156,-0.254916168145816,0.767,0.691,1
"Dcun1d1",0.0857816030318714,-0.259962252155066,0.148,0.1,1
"Rgmb",0.0864466424657528,-0.279897538802062,0.143,0.097,1
"Atp8a1",0.0867268730592387,-0.25436879661425,0.184,0.13,1
"Trim33",0.088340459977916,-0.449918193002527,0.106,0.067,1
"Zfp281",0.0885467768551114,-0.384619836348467,0.101,0.063,1
"Pdzd8",0.0887913133188873,-0.328236171428266,0.136,0.093,1
"Spsb2",0.0893865205917259,-0.280372034188159,0.105,0.067,1
"Ikbkb",0.0898453465755744,-0.289994625426451,0.164,0.112,1
"Renbp",0.090125398050852,-0.349190864553429,0.261,0.186,1
"Rps27rt",0.0901926363804064,-0.388354172511981,0.299,0.216,1
"Sdccag3",0.0907890925248996,-0.32706146506309,0.144,0.097,1
"Hk3",0.0908084801322606,-0.488230038069179,0.138,0.093,1
"Tlr2",0.0910187087194725,-0.52023929988892,0.155,0.108,1
"Senp6",0.0918086425628102,-0.325763250705665,0.167,0.115,1
"Aff4",0.0926401606976876,-0.261492436236844,0.133,0.089,1
"Pik3ca",0.0927590204041995,-0.395001718349793,0.1,0.063,1
"Map1lc3a",0.0929494699933121,-0.275869872827788,0.229,0.164,1
"Pcyox1l",0.093066335797515,-0.34129564943806,0.146,0.1,1
"Cox20",0.093156613709971,-0.299223647915468,0.236,0.167,1
"Ankrd10",0.0935765677134313,-0.418388914455292,0.137,0.093,1
"Strap",0.09459065315851,-0.326985862983183,0.28,0.204,1
"Tmem189",0.0948109056552089,-0.285001059398662,0.171,0.119,1
"Ttc13",0.0950448885068397,-0.395670174872257,0.109,0.071,1
"Psen1",0.0955486817147313,-0.280156373692761,0.155,0.108,1
"Hadha",0.0958533835947045,-0.303857563420068,0.247,0.178,1
"Tbca",0.0960625835213038,-0.351953016004936,0.725,0.617,1
"Brd4",0.0964698479527513,-0.454876485176592,0.208,0.145,1
"Smarcc1",0.0965751232995122,-0.390309726251413,0.245,0.175,1
"Ddx42",0.0978778344594456,-0.460604609214547,0.123,0.082,1
"Hnrnph1",0.0981157770304524,-0.806326454330977,0.482,0.439,1
"Aldh2",0.0988052640750158,-0.313314660300381,0.361,0.264,1
"Spred1",0.0990058106233049,-0.4999049720667,0.222,0.156,1
"Acd",0.0993336548811941,-0.566484591622675,0.135,0.089,1
"Ikzf1",0.0996200322691315,-0.300330335050164,0.3,0.219,1
"Jup",0.100145661582341,-0.521659381120256,0.111,0.074,1
"Jak3",0.102245786114272,-0.311603912792848,0.126,0.086,1
"Clcn4",0.102608105746349,-0.299692608394601,0.123,0.082,1
"Inpp4b",0.102640436809185,-0.334220025306657,0.132,0.089,1
"Tpm3-rs7",0.102896996905139,-0.558501610767334,0.162,0.197,1
"Ttc5",0.103253017974782,-0.352784339889071,0.102,0.067,1
"Kansl1",0.103592617312756,-0.35385176778558,0.235,0.171,1
"Arhgap30",0.103836861073549,-0.266493033335516,0.253,0.186,1
"Stx12",0.104099591469756,-0.366040154748623,0.159,0.112,1
"Med10",0.10411916880217,-0.323465622711612,0.279,0.201,1
"Gatd1",0.104181219998939,-0.302182420616568,0.183,0.13,1
"Irf2bp2",0.104280696140929,-0.285644482061056,0.44,0.32,1
"Polr2d",0.104344465989866,-0.34820280634797,0.216,0.152,1
"Klhl9",0.104647437500817,-0.287135471743194,0.344,0.253,1
"Abraxas2",0.104830331085284,-0.479886528902032,0.128,0.086,1
"Ccdc47",0.105395399350271,-0.294976728388526,0.169,0.119,1
"Cndp2",0.105836021237327,-0.251174826218595,0.341,0.253,1
"Gm15417",0.106379740081617,-0.288333013505914,0.127,0.086,1
"Txnrd2",0.106536859644348,-0.313496876294854,0.112,0.074,1
"Htatip2",0.106620486946712,-0.277267680988099,0.107,0.071,1
"Upf1",0.107586219740115,-0.806854917505657,0.323,0.327,1
"Kdm7a",0.107989907441232,-0.619363029765394,0.185,0.13,1
"1190007I07Rik",0.108819562933109,-0.255570873592527,0.178,0.126,1
"Psenen",0.11105087169805,-0.276163980398228,0.74,0.654,1
"Prpf31",0.11202710266567,-0.42231096579464,0.146,0.1,1
"Snap23",0.112271708573068,-0.385415993251395,0.246,0.178,1
"Ccdc85b",0.112327440327422,-0.295688817478108,0.187,0.134,1
"Mtus1",0.113509074758327,-0.281689898148408,0.231,0.167,1
"Gabpb1",0.114048964201922,-0.30855673924777,0.117,0.078,1
"Lpar6",0.115237715592102,-0.429851022193432,0.231,0.167,1
"Lpin2",0.11551749121548,-0.476347353802417,0.135,0.093,1
"Pak2",0.115631498163005,-0.274380493043595,0.393,0.29,1
"Tex264",0.116365299486099,-0.266635646369252,0.21,0.152,1
"Txndc12",0.117103490859385,-0.376198874133996,0.242,0.175,1
"Mak16",0.119130449911779,-0.395043312657107,0.116,0.078,1
"Zzz3",0.119322254934787,-0.620821868563846,0.126,0.086,1
"Ubtd1",0.1197736711791,-0.257883163183706,0.155,0.108,1
"Serpinb6a",0.120114358605876,-1.18643122111126,0.075,0.1,1
"Nhlrc3",0.120495030712659,-0.269821836581103,0.154,0.108,1
"Hint2",0.120845092355215,-0.957487658518621,0.149,0.178,1
"AL590144.2",0.121108939631367,-0.9237784393015,0.095,0.123,1
"Ccl9",0.12113021102714,-0.662565050806014,0.369,0.368,1
"Lmnb1",0.121517914869747,-0.575977382648691,0.161,0.115,1
"Mrpl3",0.121539309826203,-0.293678153930337,0.144,0.1,1
"Ctsa",0.122236585156005,-0.27346363594607,0.807,0.699,1
"Tiprl",0.123516149615676,-0.534225178702073,0.139,0.097,1
"Tpm4",0.124282760892199,-0.353195292384179,0.228,0.167,1
"Ppp1r15b",0.12517738861898,-0.309649538078011,0.107,0.071,1
"Ccdc28b",0.125264313988624,-0.266755617440213,0.119,0.082,1
"Nelfe",0.126025026166081,-0.28409942588807,0.19,0.138,1
"Bmyc",0.126270215845306,-0.277703084153799,0.499,0.372,1
"Tmx2",0.126277979010285,-0.325709470698729,0.161,0.115,1
"St6gal1",0.126468490516394,-0.400126008211708,0.168,0.119,1
"Dnajb1",0.126784461540245,-0.48772763577351,0.116,0.078,1
"Rps6ka3",0.126786096403013,-0.279517416411852,0.13,0.089,1
"Mycbp2",0.127222566461152,-0.409871652828913,0.213,0.156,1
"Mfsd14b",0.127392570833143,-0.437652184285625,0.164,0.115,1
"Gsdme",0.128122897085054,-0.292119770827993,0.116,0.078,1
"Luc7l",0.129004489183068,-0.364792155282906,0.181,0.13,1
"Camta1",0.129515195243137,-0.337176096017876,0.242,0.175,1
"Tm2d1",0.12999006995863,-0.275847072850986,0.367,0.275,1
"Klf3",0.130259078221841,-0.26252784073314,0.236,0.178,1
"Slc39a10",0.13073340283494,-0.296476457659719,0.142,0.1,1
"Supt6",0.130989319197294,-0.285409718615185,0.105,0.071,1
"Atp6v0a2",0.131578189122444,-0.322535909840371,0.153,0.108,1
"Pofut2",0.13206379815243,-0.406701918928768,0.208,0.149,1
"Cyld",0.132340042920123,-0.285213757283414,0.128,0.089,1
"Nrros",0.134395803240232,-0.252113837057496,0.367,0.283,1
"Gdi1",0.134500880476196,-0.259517977453752,0.119,0.082,1
"D17H6S53E",0.134783207892105,-0.385019851977544,0.124,0.086,1
"Gorasp2",0.13530330006724,-0.275996644036464,0.143,0.1,1
"Fam204a",0.135478768005436,-0.336421055716395,0.122,0.086,1
"Rab24",0.135738768883737,-0.543879779263766,0.357,0.253,1
"Srm",0.136513707576557,-0.391622606232833,0.243,0.175,1
"Dbnl",0.136907216338897,-0.293787802976089,0.22,0.16,1
"Mtf2",0.136914620265843,-0.294753920120586,0.161,0.115,1
"Ube2e1",0.138763926012954,-0.25953228633279,0.243,0.182,1
"Angel2",0.138833145831199,-0.276484418842732,0.11,0.074,1
"Ddx6",0.139430038196511,-0.273507365503756,0.278,0.208,1
"Acbd5",0.139498542822524,-0.439795187932559,0.133,0.093,1
"Dnajc7",0.139586618393169,-0.39412995515961,0.269,0.201,1
"Vasp",0.139939870335821,-0.323583873830267,0.256,0.193,1
"Arhgap45",0.140774554048395,-0.280128461587275,0.344,0.264,1
"Safb2",0.141210488006618,-0.322987662026918,0.161,0.115,1
"Ifitm2",0.141480743742082,-1.07054870391601,0.164,0.19,1
"Tardbp",0.14231790672002,-0.319976023320935,0.43,0.323,1
"Tgoln1",0.142495268155001,-0.461259106830643,0.167,0.119,1
"Rnaseh2b",0.142497980994514,-0.282557034794696,0.113,0.078,1
"Fabp3",0.142922432479586,-0.368953510784979,0.282,0.208,1
"Crebbp",0.143752064600781,-0.481958116790187,0.184,0.134,1
"Selenow",0.143936181750099,-0.408406912597331,0.66,0.569,1
"Leng8",0.143972386549959,-0.268206144152583,0.162,0.115,1
"Hdac2",0.14454459743241,-0.47162830943949,0.178,0.13,1
"Med22",0.14629347298214,-0.421715170820544,0.109,0.074,1
"Dync1li1",0.146300449275571,-0.309461971544444,0.123,0.086,1
"Adam17",0.146301495812002,-0.376532951827284,0.294,0.223,1
"Tbk1",0.146840611964106,-0.420612950632098,0.131,0.093,1
"Arid1a",0.146896937670654,-0.408575774853256,0.276,0.204,1
"Nsun2",0.149213401285094,-0.379437055463663,0.165,0.119,1
"Camk2n1",0.150695130825862,-0.593538770693367,0.114,0.078,1
"Mms19",0.151447406826116,-0.641036588924197,0.109,0.074,1
"Slc23a2",0.152016838250661,-0.492697576619435,0.217,0.164,1
"Brd2",0.153097723466833,-0.473827312361539,0.205,0.149,1
"Kcnk12",0.153307857138887,-0.319933283903337,0.127,0.089,1
"Apip",0.153405151574972,-0.393889192309065,0.147,0.104,1
"Brox",0.154056301452274,-0.576247990581848,0.18,0.13,1
"Polb",0.15421196357106,-0.39275714916606,0.136,0.097,1
"Tsfm",0.155014322423552,-0.402148430076202,0.148,0.104,1
"Lrrc8a",0.155124095878512,-0.316007310010223,0.391,0.294,1
"Eef1akmt1",0.155218107679845,-0.288703003136221,0.162,0.119,1
"Ptprj",0.155283724743763,-0.364095538879403,0.201,0.149,1
"Zdhhc21",0.15559370109635,-0.337886978593384,0.111,0.078,1
"Snx12",0.155714351572236,-0.434321254282399,0.139,0.1,1
"Nr3c1",0.156590280725111,-0.280432247210476,0.111,0.078,1
"Fxyd5",0.156912078300541,-0.355626937914274,0.23,0.175,1
"Ewsr1",0.157479005228703,-0.275222637595483,0.482,0.361,1
"Tmem87b",0.157701743921527,-0.804780345986842,0.176,0.197,1
"Lamtor2",0.158335073367924,-0.361501708387026,0.68,0.576,1
"Tcf7l2",0.158575833907944,-0.282805220819286,0.234,0.178,1
"Rragc",0.159187861187806,-0.287337884838253,0.335,0.264,1
"Hnrnpa3",0.159489870140686,-0.28669718913187,0.669,0.595,1
"Rrp15",0.159556608529465,-0.255520153677858,0.16,0.119,1
"Brix1",0.159607125724743,-0.501457126392144,0.144,0.104,1
"Snx24",0.160397755265977,-0.45813752217183,0.177,0.13,1
"2700062C07Rik",0.160451592586861,-0.45648410571559,0.118,0.082,1
"Stk16",0.160557662622233,-0.400445117627608,0.208,0.152,1
