"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dgkd",0.0832236412933838,-0.44487977065187,0.242,0.171,1
"Timm10b",0.0845470294776431,-0.361216933613408,0.696,0.587,1
"Mif",0.0855936859160156,-0.254916168145816,0.767,0.691,1
"Renbp",0.090125398050852,-0.349190864553429,0.261,0.186,1
"Rps27rt",0.0901926363804064,-0.388354172511981,0.299,0.216,1
"Map1lc3a",0.0929494699933121,-0.275869872827788,0.229,0.164,1
"Cox20",0.093156613709971,-0.299223647915468,0.236,0.167,1
"Strap",0.09459065315851,-0.326985862983183,0.28,0.204,1
"Hadha",0.0958533835947045,-0.303857563420068,0.247,0.178,1
"Tbca",0.0960625835213038,-0.351953016004936,0.725,0.617,1
"Brd4",0.0964698479527513,-0.454876485176592,0.208,0.145,1
"Smarcc1",0.0965751232995122,-0.390309726251413,0.245,0.175,1
"Hnrnph1",0.0981157770304524,-0.806326454330977,0.482,0.439,1
"Aldh2",0.0988052640750158,-0.313314660300381,0.361,0.264,1
"Spred1",0.0990058106233049,-0.4999049720667,0.222,0.156,1
"Ikzf1",0.0996200322691315,-0.300330335050164,0.3,0.219,1
"Kansl1",0.103592617312756,-0.35385176778558,0.235,0.171,1
"Arhgap30",0.103836861073549,-0.266493033335516,0.253,0.186,1
"Med10",0.10411916880217,-0.323465622711612,0.279,0.201,1
"Irf2bp2",0.104280696140929,-0.285644482061056,0.44,0.32,1
"Polr2d",0.104344465989866,-0.34820280634797,0.216,0.152,1
"Klhl9",0.104647437500817,-0.287135471743194,0.344,0.253,1
"Cndp2",0.105836021237327,-0.251174826218595,0.341,0.253,1
"Upf1",0.107586219740115,-0.806854917505657,0.323,0.327,1
"Psenen",0.11105087169805,-0.276163980398228,0.74,0.654,1
"Snap23",0.112271708573068,-0.385415993251395,0.246,0.178,1
"Mtus1",0.113509074758327,-0.281689898148408,0.231,0.167,1
"Lpar6",0.115237715592102,-0.429851022193432,0.231,0.167,1
"Pak2",0.115631498163005,-0.274380493043595,0.393,0.29,1
"Tex264",0.116365299486099,-0.266635646369252,0.21,0.152,1
"Txndc12",0.117103490859385,-0.376198874133996,0.242,0.175,1
"Ccl9",0.12113021102714,-0.662565050806014,0.369,0.368,1
"Ctsa",0.122236585156005,-0.27346363594607,0.807,0.699,1
"Tpm4",0.124282760892199,-0.353195292384179,0.228,0.167,1
"Bmyc",0.126270215845306,-0.277703084153799,0.499,0.372,1
"Mycbp2",0.127222566461152,-0.409871652828913,0.213,0.156,1
"Camta1",0.129515195243137,-0.337176096017876,0.242,0.175,1
"Tm2d1",0.12999006995863,-0.275847072850986,0.367,0.275,1
"Klf3",0.130259078221841,-0.26252784073314,0.236,0.178,1
"Pofut2",0.13206379815243,-0.406701918928768,0.208,0.149,1
"Nrros",0.134395803240232,-0.252113837057496,0.367,0.283,1
"Rab24",0.135738768883737,-0.543879779263766,0.357,0.253,1
"Hmox1",0.135827735840192,0.795241326386354,0.375,0.297,1
"Srm",0.136513707576557,-0.391622606232833,0.243,0.175,1
"Dbnl",0.136907216338897,-0.293787802976089,0.22,0.16,1
"Ube2e1",0.138763926012954,-0.25953228633279,0.243,0.182,1
"Ddx6",0.139430038196511,-0.273507365503756,0.278,0.208,1
"Dnajc7",0.139586618393169,-0.39412995515961,0.269,0.201,1
"Vasp",0.139939870335821,-0.323583873830267,0.256,0.193,1
"Ccl3",0.140151129270182,0.388643772395779,0.399,0.331,1
"Arhgap45",0.140774554048395,-0.280128461587275,0.344,0.264,1
"Tardbp",0.14231790672002,-0.319976023320935,0.43,0.323,1
"Fabp3",0.142922432479586,-0.368953510784979,0.282,0.208,1
"Selenow",0.143936181750099,-0.408406912597331,0.66,0.569,1
"Adam17",0.146301495812002,-0.376532951827284,0.294,0.223,1
"Arid1a",0.146896937670654,-0.408575774853256,0.276,0.204,1
"Slc23a2",0.152016838250661,-0.492697576619435,0.217,0.164,1
"Brd2",0.153097723466833,-0.473827312361539,0.205,0.149,1
"Lrrc8a",0.155124095878512,-0.316007310010223,0.391,0.294,1
"Ptprj",0.155283724743763,-0.364095538879403,0.201,0.149,1
"Fxyd5",0.156912078300541,-0.355626937914274,0.23,0.175,1
"Ewsr1",0.157479005228703,-0.275222637595483,0.482,0.361,1
"Lamtor2",0.158335073367924,-0.361501708387026,0.68,0.576,1
"Tcf7l2",0.158575833907944,-0.282805220819286,0.234,0.178,1
"Rragc",0.159187861187806,-0.287337884838253,0.335,0.264,1
"Hnrnpa3",0.159489870140686,-0.28669718913187,0.669,0.595,1
"Stk16",0.160557662622233,-0.400445117627608,0.208,0.152,1
"Cggbp1",0.162023756583065,-0.310416211597362,0.27,0.204,1
"Pgls",0.163248812044416,-0.254244750229276,0.747,0.651,1
"Ap2a2",0.163413011218594,-0.433020582357758,0.239,0.178,1
"Mkln1",0.163546491329105,-0.348067003229615,0.235,0.178,1
"Selplg",0.163767229667564,-0.300359671894997,0.294,0.223,1
"Nfam1",0.164109474712813,-0.266172445924311,0.243,0.186,1
"Selenot",0.164852809311812,-0.546411631429848,0.259,0.19,1
"Xiap",0.166939901055513,-0.282903016487307,0.278,0.208,1
"Notch2",0.167284039112853,-0.316899028985417,0.305,0.23,1
"Mertk",0.170525986572134,-0.393629009261288,0.268,0.197,1
"Rnf7",0.170746747012154,-0.299686002467444,0.734,0.625,1
"Pop7",0.17156370748647,-0.269697150347133,0.243,0.182,1
"Kif21b",0.172266610998855,-0.505686293826384,0.202,0.149,1
"Usp2",0.173764288131874,-0.344126433377963,0.226,0.171,1
"Atp5d",0.17402338588916,-0.253187629406875,0.778,0.647,1
"Crk",0.174412112074179,-0.345503370896413,0.207,0.152,1
"Tor1aip1",0.17542155903786,-0.308635523747498,0.33,0.253,1
"Rbpj",0.177827535411601,-0.47949163710053,0.263,0.197,1
"Thrap3",0.177887561931072,-0.274556417915165,0.25,0.19,1
"Ctdnep1",0.179395608584149,-0.335940246873234,0.212,0.164,1
"Fibp",0.179943548732327,-0.264124883753505,0.268,0.204,1
"Timm8a1",0.182134393406367,-0.253770860649146,0.209,0.156,1
"Tgs1",0.182411882668823,-0.289894854976715,0.298,0.23,1
"Sf3b2",0.182906981119786,-0.275810019936912,0.363,0.275,1
"Anapc13",0.187670158586554,-0.50982475631966,0.47,0.446,1
"Mrpl21",0.190002783743643,-0.275757940791348,0.207,0.156,1
"Hectd1",0.190672251782975,-0.299121606807479,0.235,0.178,1
"Trappc1",0.19242906213422,-0.301551602072774,0.323,0.245,1
"Ppp1r18",0.193104022719961,-0.314130998849241,0.418,0.32,1
"Zmat5",0.193411740027439,-0.257783860128781,0.213,0.164,1
"Smarca4",0.197154431308231,-0.26069265911216,0.217,0.167,1
"Mcmbp",0.19716353056143,-0.265366521242862,0.272,0.212,1
"Sypl",0.203839012950915,-0.315664587267267,0.376,0.294,1
"Ythdf2",0.205723035865108,-0.259081753773485,0.309,0.242,1
"Cklf",0.206255092122182,-0.291903937190975,0.226,0.175,1
"Sh3bgrl",0.207479612765291,-0.42642259189946,0.341,0.257,1
"Llph",0.209080553410327,-0.260749776098392,0.422,0.327,1
"Ms4a6d",0.209421980356334,-0.495723186284665,0.289,0.219,1
"Gls",0.210043526624602,-0.345687995217731,0.238,0.182,1
"Atp13a2",0.21043634241254,-0.393377131763735,0.386,0.29,1
"Gmip",0.212597367201815,-0.301855340271749,0.23,0.175,1
"Yme1l1",0.212951104463488,-0.310282367471834,0.261,0.201,1
"Smagp",0.213547170335566,-0.381959949086289,0.241,0.182,1
"Arl8b",0.214426955225754,-0.299023959296858,0.399,0.305,1
"Isca2",0.214658539206848,-0.35645103681002,0.252,0.193,1
"Dazap2",0.214790890014213,-0.266768161104854,0.325,0.257,1
"Gnb1",0.214935199869098,-0.542526077334415,0.544,0.465,1
"Mgea5",0.21587300088729,-0.443577009029583,0.209,0.16,1
"Gpr137b",0.218595939578349,-0.349192691843205,0.376,0.286,1
