"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dnajc3",0.0635132053618371,-0.66904246819123,0.089,0.167,1
"Cnot1",0.0635693473994126,-1.20464849288224,0.067,0.138,1
"Emc10",0.0636769467597597,-1.08500907811521,0.122,0.201,1
"Cebpb",0.0640120477345775,-0.663532898088775,0.356,0.438,1
"Prrc2a",0.06405693285938,-1.12741719295955,0.089,0.163,1
"Tpm4",0.0643124184874902,-0.868163790501223,0.078,0.154,1
"Tor1aip1",0.065135309204074,-0.98851801972512,0.122,0.205,1
"Lag3",0.065224043682136,-0.756776129916117,0.111,0.197,1
"Lamp1",0.0657736551460088,-0.254289202145142,0.822,0.858,1
"Rsrc2",0.0663144650551951,-1.37109798548515,0.078,0.147,1
"Pqlc2",0.0664198959359744,-1.60667516497894,0.044,0.106,1
"Lyl1",0.0667924647408479,-1.01219712558848,0.2,0.276,1
"Tmem106b",0.0669591024782415,-1.29539632570606,0.067,0.133,1
"Asah1",0.0672820208437865,-0.53084186722488,0.378,0.454,1
"Ptpa",0.0678148676779999,-0.772726425747512,0.089,0.167,1
"Upf1",0.0679416859396515,-0.98060095371993,0.178,0.259,1
"Hnrnpdl",0.069179311595911,-0.882345881698551,0.167,0.251,1
"Larp4b",0.0695373302038146,-0.936019198739256,0.089,0.163,1
"Cbl",0.070101585872116,-0.505588446173901,0.067,0.138,1
"Slc16a3",0.0716645489147754,-1.44364878164639,0.044,0.104,1
"M6pr",0.071904116680673,-0.543713015999407,0.189,0.284,1
"Fam102b",0.0719297999559869,-0.709739764966121,0.056,0.12,1
"Cmtm3",0.0725285510600077,-0.708334766705829,0.133,0.223,1
"Dync1i2",0.0726952784426048,-0.55171709082089,0.3,0.391,1
"Eif4b",0.0727329002483095,-0.915293408317208,0.111,0.189,1
"Brd4",0.072912645710427,-1.1694944854002,0.056,0.118,1
"Golgb1",0.07353783037939,-1.61521741052183,0.056,0.117,1
"Il10ra",0.0749385818970164,-0.98634927428844,0.067,0.135,1
"Kdm2a",0.0752847464979458,-1.16948285583438,0.067,0.135,1
"Pld4",0.0754231920424657,-0.546677738248806,0.433,0.517,1
"Flna",0.0755321530347589,-0.877594540447265,0.122,0.199,1
"Dnajb6",0.0756119603335247,-0.672031028158955,0.156,0.244,1
"Ubash3b",0.0760087217512581,-1.17482929267423,0.078,0.144,1
"Tex264",0.0764475187683381,-0.736764119669655,0.078,0.151,1
"Atp6v1h",0.0766773636424738,-1.14248269331965,0.067,0.133,1
"Nrros",0.0768345421194281,-0.810246839208511,0.122,0.205,1
"Ptprs",0.0770141954315144,-1.29324139908114,0.067,0.131,1
"Prpf40a",0.0775241135492055,-0.982034123347507,0.078,0.147,1
"Atf7ip",0.07761769135488,-1.26220974806823,0.056,0.117,1
"Hnrnpll",0.0779091420718061,-1.5675991074893,0.044,0.102,1
"Tmem234",0.0781052345356907,-0.673878840089347,0.2,0.294,1
"Kpna1",0.0785177275243106,-1.36199844665937,0.044,0.102,1
"Smarcc1",0.079185210091639,-0.871812551316215,0.089,0.162,1
"Creld2",0.0792537678276091,-0.927194802305968,0.056,0.12,1
"Clk1",0.0797454476403016,-0.746976193140455,0.156,0.235,1
"Rapgef5",0.0801890031439065,-1.64560586735331,0.044,0.101,1
"Degs1",0.0802840331396879,-1.06980525447244,0.067,0.133,1
"Scarb2",0.0802982743991467,-0.400173118367243,0.3,0.399,1
"Dnajc7",0.080369650129144,-0.671756781551482,0.1,0.178,1
"Magt1",0.080609622891104,-0.867633852518404,0.089,0.158,1
"Hcfc1",0.0812373851901176,-1.56329583045819,0.044,0.101,1
"Hist1h4i",0.0818323542735008,-0.690424504781145,0.078,0.149,1
"Prdx4",0.0818465830912629,-0.929871069236945,0.144,0.223,1
"Fam32a",0.0825764514379719,-0.773653288372737,0.211,0.302,1
"Clgn",0.0828122601618788,-0.675344947941614,0.044,0.104,1
"Rab10",0.0828476194785919,-0.715096464004496,0.189,0.269,1
"Lpp",0.0835145448215515,-0.622170518971805,0.056,0.118,1
"Stat3",0.0835268761313593,-1.21343146330434,0.044,0.102,1
"Pnn",0.0845525576208299,-1.06560612767644,0.089,0.16,1
"Jarid2",0.0847415053211249,-1.38179434368239,0.056,0.115,1
"Naa40",0.0848853771815296,-1.48140484275135,0.044,0.101,1
"Sox4",0.0848960292554918,-0.771133578431549,0.167,0.246,1
"Aaed1",0.0852458396154884,-1.23838690611132,0.078,0.144,1
"Psenen",0.0854847649070075,-0.459317469479714,0.544,0.605,1
"Srgap2",0.085705521418275,-0.826499462904007,0.089,0.16,1
"Cd53",0.0857451908540259,-0.42869095220468,0.422,0.504,1
"Pcyox1",0.0864974027237719,-1.35083515127023,0.056,0.115,1
"Anxa5",0.0868879872341913,-0.905050878305335,0.122,0.197,1
"Foxn3",0.0869311427908534,-0.884670380297523,0.167,0.248,1
"St6gal1",0.0871612893177742,-0.921372589918812,0.067,0.131,1
"Rhoh",0.0873832820298855,-1.19432152362596,0.067,0.129,1
"Ncaph2",0.0875439265600713,-1.38103116559666,0.056,0.115,1
"Tmem164",0.0882131783234952,-1.15216798901244,0.044,0.101,1
"Rnf44",0.0882235777141074,-0.760365973439819,0.044,0.104,1
"Ccdc50",0.0883250230314779,-0.592193341319445,0.211,0.293,1
"Snx24",0.0886006293620895,-1.28011629771205,0.056,0.115,1
"Stub1",0.0889126309842223,-0.659910151596348,0.333,0.408,1
"Tmem256",0.0890771679599624,-0.250350688981724,0.8,0.763,1
